配台試行順番,ステータス,タスクID,完了率(実行時点),工程名,機械名,優先度,必須OP(上書),タスク効率,累計加工量,残加工量,加工途中,配台済_加工開始,配台済_加工終了,配台済_回答指定16時まで,加工開始日,回答納期,指定納期,原反投入日,加工速度,紝期緊急,特別指定_AI,特別指定あり,担当OP指定,履歴1,履歴2,計画基準納期,履歴3,履歴4,履歴5,履歴6,,≪ メインへ
19,配台済,Y4-51,0%,スリット,スリット機1　湖南,999,,1,5R (1000m),0,いいえ,2026/04/23 13:04,2026/04/23 14:19,はい,2026/04/23,2026/04/30,2026/04/30,2026/04/23,23.75,いいえ,,いいえ,,"・【04/23】：5R/1000m #91 主:冨田　裕子, 竹内　正美",,2026/04/30,,,,,,
20,配台済,Y4-51,0%,SEC,SEC機　湖南,999,,1,5R (1000m),0,いいえ,2026/04/23 13:04,2026/04/23 14:19,はい,2026/04/23,2026/04/30,2026/04/30,2026/04/23,25.65,いいえ,,いいえ,,"・【04/23】：5R/1000m #30 主:冨田　裕子, 宮島　　剛,竹内　正美",,2026/04/30,,,,,,
21,配台済,V4-10,0%,接続,熱融着機　湖南,999,,1,16R (3200m),0,いいえ,2026/04/20 16:02,2026/04/23 16:30,いいえ,2026/04/17,2026/04/21,2026/04/21,2026/04/16,19,いいえ,,いいえ,,・【04/20】：5R/1000m #116 主:冨田　裕子,・【04/23】：2R/400m #114 主:竹内　正美,2026/04/21,・【04/23】：9R/1800m #114 主:竹内　正美,,,,,
22,配台済,V4-11,0%,接続,熱融着機　湖南,999,,1,5R (1000m),0,いいえ,2026/04/24 08:55,2026/04/24 09:45,いいえ,2026/04/17,2026/04/21,2026/04/21,2026/04/16,19,いいえ,,いいえ,,・【04/24】：5R/1000m #114 主:竹内　正美,,2026/04/21,,,,,,
23,配台済,W4-6,0%,検査,熱融着機　湖南,999,,1,20R (6000m),0,いいえ,2026/04/24 09:45,2026/04/27 16:02,はい,2026/04/17,2026/04/30,2026/04/30,2026/04/14,9.5,いいえ,,いいえ,,・【04/24】：4R/1200m #108 主:竹内　正美,・【04/24】：3R/900m #108 主:竹内　正美,2026/04/30,・【04/24】：3R/900m #108 主:竹内　正美,・【04/27】：5R/1500m #108 主:竹内　正美,・【04/27】：3R/900m #108 主:竹内　正美,・【04/27】：2R/600m #108 主:竹内　正美,,
24,配台済,Y4-50,0%,接続,熱融着機　湖南,999,,1,5R (1000m),0,いいえ,2026/04/27 16:02,2026/04/28 16:03,はい,2026/04/27,2026/04/30,2026/04/30,2026/04/27,19,いいえ,,いいえ,,・【04/27】：5R/1000m #114 主:竹内　正美,,2026/04/30,,,,,,
25,配台済,Y4-54,0%,接続,熱融着機　湖南,999,,1,3R (600m),0,いいえ,2026/04/28 08:55,2026/04/29 11:06,はい,2026/04/24,2026/04/30,2026/04/30,2026/04/24,19,いいえ,,いいえ,,・【04/28】：3R/600m #114 主:竹内　正美,,2026/04/30,,,,,,
26,配台済,Y4-34,0%,SEC,SEC機　湖南,999,,1,15R (3000m),0,いいえ,2026/04/21 09:25,2026/04/21 11:55,いいえ,2026/04/17,2026/04/20,2026/04/20,2026/04/14,20,いいえ,,いいえ,,"・【04/21】：15R/3000m #44 主:森岡　真由美, 図司　智子,菅沼　めぐみ",,2026/04/20,,,,,,
27,配台済,Y4-45,0%,SEC,SEC機　湖南,999,,1,15R (3000m),0,いいえ,2026/04/21 12:50,2026/04/21 15:40,はい,2026/04/20,2026/04/22,2026/04/22,2026/04/20,20,いいえ,,いいえ,,"・【04/21】：11R/2200m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ","・【04/21】：4R/800m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ",2026/04/22,,,,,,
28,配台済,Y4-20,0%,SEC,SEC機　湖南,999,,1,30R (6000m),0,いいえ,2026/04/21 15:40,2026/04/22 14:30,はい,2026/04/17,2026/04/23,2026/04/23,2026/04/17,20,いいえ,,いいえ,,"・【04/21】：5R/1000m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ","・【04/22】：15R/3000m #45 主:宮島　　剛, 図司　智子,竹内　正美",2026/04/23,"・【04/22】：10R/2000m #45 主:宮島　　剛, 図司　智子,竹内　正美",,,,,
29,配台済,Y4-42,0%,SEC,SEC機　湖南,999,,1,15R (3000m),0,いいえ,2026/04/22 14:30,2026/04/22 16:31,はい,2026/04/17,2026/04/23,2026/04/23,2026/04/15,25.65,いいえ,,いいえ,,"・【04/22】：2R/400m #30 主:冨田　裕子, 宮島　　剛,竹内　正美","・【04/22】：13R/2600m #30 主:冨田　裕子, 宮島　　剛,竹内　正美",2026/04/23,,,,,,
30,配台済,Y4-46,0%,SEC,SEC機　湖南,999,,1,15R (3000m),0,いいえ,2026/04/23 14:23,2026/04/23 16:24,いいえ,2026/04/20,2026/04/23,2026/04/23,2026/04/20,25.65,いいえ,,いいえ,,"・【04/23】：3R/600m #41 主:冨田　裕子, 図司　智子,宮島　　剛","・【04/23】：12R/2400m #41 主:冨田　裕子, 図司　智子,宮島　　剛",2026/04/23,,,,,,
31,配台済,Y4-21,0%,SEC,SEC機　湖南,999,,1,45R (9000m),0,いいえ,2026/04/24 09:25,2026/04/24 15:49,はい,2026/04/20,2026/04/24,2026/04/24,2026/04/20,25.65,いいえ,,いいえ,,"・【04/24】：22R/4400m #41 主:冨田　裕子, 図司　智子,宮島　　剛","・【04/24】：16R/3200m #41 主:冨田　裕子, 図司　智子,宮島　　剛",2026/04/24,"・【04/24】：7R/1400m #41 主:冨田　裕子, 図司　智子,宮島　　剛",,,,,
32,配台済,Y4-39,0%,SEC,SEC機　湖南,999,,1,15R (3000m),0,いいえ,2026/04/24 15:49,2026/04/27 10:28,いいえ,2026/04/21,2026/04/24,2026/04/24,2026/04/21,25.65,いいえ,,いいえ,,"・【04/24】：6R/1200m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ","・【04/27】：9R/1800m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ",2026/04/24,,,,,,
33,配台済,Y4-48,0%,SEC,SEC機　湖南,999,,1,2R (400m),0,いいえ,2026/04/27 10:28,2026/04/27 10:42,いいえ,2026/04/22,2026/04/24,2026/04/24,2026/04/22,25.65,いいえ,,いいえ,,"・【04/27】：2R/400m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ",,2026/04/24,,,,,,
34,配台済,JR260404,0%,SEC,SEC機　湖南,999,,1,10R (1000m),0,いいえ,2026/04/23 16:24,2026/04/27 11:22,いいえ,2026/04/22,2026/04/24,2026/04/24,2026/04/22,20,いいえ,,いいえ,,"・【04/23】：2R/200m #41 主:冨田　裕子, 図司　智子,宮島　　剛","・【04/27】：8R/800m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ",2026/04/24,,,,,,
35,配台済,Y4-43,0%,SEC,SEC機　湖南,999,,1,45R (9000m),0,いいえ,2026/04/27 11:22,2026/04/28 10:14,いいえ,2026/04/21,2026/04/27,2026/04/27,2026/04/21,25.65,いいえ,,いいえ,,"・【04/27】：5R/1000m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ","・【04/27】：16R/3200m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ",2026/04/27,"・【04/27】：17R/3400m #29 主:冨田　裕子, 宮島　　剛,菅沼　めぐみ","・【04/28】：7R/1400m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ",,,,
36,配台済,JR260405,0%,SEC,SEC機　湖南,999,,1,7R (700m),0,いいえ,2026/04/28 08:55,2026/04/28 10:49,はい,2026/04/23,2026/04/28,2026/04/28,2026/04/23,20,いいえ,,いいえ,,"・【04/28】：7R/700m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ",,2026/04/28,,,,,,
37,配台済,PN04-03,0%,EC,SEC機　湖南,999,,1,23R (2300m),0,いいえ,2026/04/28 13:00,2026/04/28 14:32,はい,2026/04/28,2026/04/30,2026/04/30,2026/04/28,23.75,いいえ,,いいえ,,"・【04/28】：23R/2300m #8 主:冨田　裕子, 森岡　真由美,竹内　正美",,2026/04/30,,,,,,
38,配台済,Y4-49,0%,SEC,SEC機　湖南,999,,1,5R (1000m),0,いいえ,2026/04/28 14:32,2026/04/28 15:28,はい,2026/04/24,2026/04/30,2026/04/30,2026/04/24,25.65,いいえ,,いいえ,,"・【04/28】：1R/200m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ","・【04/28】：4R/800m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ",2026/04/30,,,,,,
39,配台済,Y4-50,0%,SEC,SEC機　湖南,999,,1,5R (1000m),0,いいえ,2026/04/27 16:02,2026/04/28 16:03,はい,2026/04/27,2026/04/30,2026/04/30,2026/04/27,25.65,いいえ,,いいえ,,"・【04/28】：5R/1000m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ",,2026/04/30,,,,,,
40,配台済,Y4-52,0%,SEC,SEC機　湖南,999,,1,11R (2200m),0,いいえ,2026/04/28 16:03,2026/04/29 09:46,はい,2026/04/23,2026/04/30,2026/04/30,2026/04/23,25.65,いいえ,,いいえ,,"・【04/28】：8R/1600m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ","・【04/29】：3R/600m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ",2026/04/30,,,,,,
41,配台済,Y4-53,0%,SEC,SEC機　湖南,999,,1,5R (1000m),0,いいえ,2026/04/29 09:46,2026/04/29 10:36,はい,2026/04/27,2026/04/30,2026/04/30,2026/04/27,20,いいえ,,いいえ,,"・【04/29】：5R/1000m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ",,2026/04/30,,,,,,
42,配台済,Y4-54,0%,SEC,SEC機　湖南,999,,1,3R (600m),0,いいえ,2026/04/28 08:55,2026/04/29 11:06,はい,2026/04/24,2026/04/30,2026/04/30,2026/04/24,20,いいえ,,いいえ,,"・【04/29】：3R/600m #28 主:冨田　裕子, 竹内　正美,菅沼　めぐみ",,2026/04/30,,,,,,
